ID,Have you ever used grocery delivery?,"What gender do you identify as?
",How old are you?,Are you currently enrolled as a student in an educational institute? ,Which area of Berlin do you live in?,How often do you order grocery deliveries a month?,What days do you usually get deliveries?,What time of day do you usually order deliveries?,Which sameday delivery service do you use the most?,How willing are you to order late night deliveries,How often would you use late night deliveries in a month?,As an estimate how much would you spend on a late night delivery for a single order?,How long would you find acceptable to wait for a late night delivery?,What do you get delivered late at night?,"If you were at a social gathering and ran out of drinks, how likely would you be to order a delivery of drinks (5 is very likely)",Choose your favorite offer below, Rate the following statement from 1 (not applicable) to 5 (very true): I have been waiting a long time for a late time delivery service,Rate the following statement from 1 (not applicable) to 5 (very true): I often experience a need to have groceries delivered after 21,"Rate the following statement from 1 (not applicable) to 5 (very true): I would prefer to have groceries delivered, as opposed to going out at night"
1,Yes,Male,26,Yes,Region B,4,Weekends ( Fri-Sunday),Evening (17-21),Gorillas,4,10,25,20 min,Alcoholic beverages,4,"15 min delivery time, fee 5€, minimum Order 10€ ",4,4,5
2,Yes,Male,21,No,Region B,1,Weekdays (Mon-Thursday),Evening (17-21),Getir,5,4,50,60 min,"Snacks (Chocolate, chips and so on)",5,"30 min delivery time, fee 4€, minimum Order 15€",4,4,4
3,Yes,Female,23,Yes,Region C,4,Weekends ( Fri-Sunday),Night (21-4),Others,5,7,2,60 min,"Snacks (Chocolate, chips and so on)",5,"60 min delivery time, fee 3€, minimum Order 20€",5,5,5
4,Yes,Female,35,Yes,Region B,1,Weekends ( Fri-Sunday),Evening (17-21),Flink,5,1,10,30 min,Alcoholic beverages,5,"15 min delivery time, fee 5€, minimum Order 10€ ",4,3,5
5,Yes,Female,22,Yes,Region A,4,Weekends ( Fri-Sunday),Night (21-4),Amazon fresh,5,3,50,30 min,"Snacks (Chocolate, chips and so on)",4,"30 min delivery time, fee 4€, minimum Order 15€",2,4,5
6,Yes,Female,22,Yes,Region A,2,Weekends ( Fri-Sunday),Evening (17-21),Getir,5,4,20,30 min,"Snacks (Chocolate, chips and so on)",5,"30 min delivery time, fee 4€, minimum Order 15€",5,4,5
7,Yes,Female,22,Yes,Region B,2,Weekdays (Mon-Thursday),Morning (5-12),Amazon fresh,4,1,2,30 min,Produce (Vegetable or fruits),3,"60 min delivery time, fee 3€, minimum Order 20€",3,3,2
8,Yes,Female,21,Yes,Region A,2,Weekdays (Mon-Thursday),Day (12-17,Getir,5,5,4,30 min,"Snacks (Chocolate, chips and so on)",5,"60 min delivery time, fee 3€, minimum Order 20€",5,5,5
9,Yes,Female,22,Yes,Region A,4,Weekdays (Mon-Thursday),Day (12-17,Getir,3,2,30,30 min,"Snacks (Chocolate, chips and so on)",4,"30 min delivery time, fee 4€, minimum Order 15€",4,3,4
10,Yes,Male,24,Yes,Region B,4,Weekdays (Mon-Thursday),Day (12-17,Getir,5,4,4,30 min,Personal care (Soaps creams),3,"30 min delivery time, fee 4€, minimum Order 15€",4,3,5
