ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
2,6.3.22 14:01:47,6.3.22 14:04:21,anonymous,,Male,24,Living with other people,Yes,Public,Master,Denmark,2.2,Because it is a necessity to get a good job;Because I can see new cities and meet new places;,Economics,,,Mother;,SU (Statens Uddannelsesstøtte);Personal savings;Working;,No,,,,1501-2000,1750,More than five days a week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
3,6.9.22 14:23:22,6.9.22 14:28:11,anonymous,,Female,22,Living with parents,Yes,Public,Bachelor,Germany,2.5,Because it is a necessity to get a good job;,Business,Field of studies,Arts,Both;,Working;,No,,,,0-500,250,Once or twice a week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
4,6.9.22 14:31:12,6.9.22 14:33:18,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Spain,2.8,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;,Business,Field of studies,Arts,Both;,Family;,No,,,,1001-1500,1250,three to four days a week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5,6.9.22 14:43:56,6.9.22 14:52:57,anonymous,,Male,20,Living with other people,Yes,Public,Bachelor,Spain,1.3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I can see new cities and meet new places;Development;,Business,Field of studies;Choice of university;Location of studies;,Natural sciences,Both;,Working;Scholarships;,Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,501-1000,1501-2000,1000,three to four days a week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
6,6.9.22 14:59:40,6.9.22 15:06:34,anonymous,,Female,25,Living with parents,Yes,Public,Bachelor,Spain,2,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Business,,,Father;,Family;,No,,,,1001-1500,1250,three to four days a week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
7,6.9.22 15:05:44,6.9.22 15:11:06,anonymous,,Female,21,Living with other people,Yes,Private,Bachelor,United Kingdom,2,Because it is a necessity to get a good job;Because I did not know what else to do;Because it is a fun time;,Business,Location of studies;Choice of university;,,None;,"Working;State loan (BAFog, Student loan..);",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20-Nov,501-1000,1001-1500,500,three to four days a week,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral
8,6.9.22 15:57:57,6.9.22 16:02:34,anonymous,,Male,25,Living alone,Yes,Private,Bachelor,Colombia,1.7,Because I can learn more about topics that interest me;,Business,,,Both;,Family;,Yes,Gain expertise and get experience in the field;Personal interest;,20-Nov,1001-1500,2001-2500,1000,Once or twice a week,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree
10,6.12.22 17:57:31,6.12.22 18:00:02,anonymous,,Male,24,Living with other people,Yes,Public,Master,Denmark,1.9,Because I can see new cities and meet new places;Because it is a necessity to get a good job;,Economics,Field of studies;Accomodation during studies;,History,Mother;,SU (Statens Uddannelsesstøtte);Scholarships;Working;,Yes,"To finance the nonnecessities (sociallife, party, travel);",20-Nov,501-1000,1501-2000,1000,More than five days a week,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral
11,6.12.22 18:43:45,6.12.22 18:46:02,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Germany,1.3,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;,Business,Location of studies;Field of studies;Choice of university;Accomodation during studies;,Arts,None;,Working;Family;Scholarships;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,1001-1500,1501-2000,500,Once or twice a week,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Neutral
12,6.13.22 8:45:12,6.13.22 8:49:38,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,2.4,Because it is a necessity to get a good job;,Engineering,It had no impact;,History,Both;,Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",10-Jan,0-500,501-1000,500,Once or twice a week,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Neutral
